Ancestor?,Scan date,Nr,Name,Nickname,Gender,Level,possibleLevels,CP,HP,Dust cost,Overall appraisal,ATT max?,DEF max?,HP max?,Stats appraisal,min IV%,ØIV%,max IV%,ØATT IV,ØDEF IV,ØHP IV,Unique?,Fast move,Special move,DPS,Sword,Shield,Eye,Star,Custom1,Custom2,Saved,Form,Egg,Lucky
0,10/27/18 08:50:50,215,Sneasel,39③⑧⑥⑮FAIP,♂,15.0,15.0,712,60,1900,?,0,0,0,?,33.3,38.9,44.4,3.2,8.0,6.3,0,Feint Attack,Ice Punch,14.9,0,0,0,0,,,0,214,0,1
0,10/27/18 08:50:17,215,Sneasel,39⑦⑦③⑱ISAv,♀,18.0,18.0,857,64,2200,?,0,0,0,?,33.3,38.6,44.4,6.5,7.4,3.5,0,Ice Shard,Avalanche,17.1,0,0,0,0,,,0,214,0,1
0,10/27/18 08:50:03,215,Sneasel,36❼❸❻㉗ISIP,♂,27.0,27.0,1286,80,4500,<50%,1,0,0,0-7,35.6,35.6,35.6,7.0,3.0,6.0,1,Ice Shard,Ice Punch,19.2,0,0,0,0,,,0,214,0,1
0,10/27/18 08:49:34,200,Misdreavus,61⑧⑧⑫①HeSS,♀,1.0,1.0,23,12,200,?,0,0,0,?,44.4,61.3,80.0,8.5,7.6,11.5,0,Hex,Shadow Sneak,1.8,0,0,0,0,,,0,199,0,1
0,10/27/18 08:49:15,200,Misdreavus,80❿⓮⓬⑮AsSS,♀,15.0,15.0,732,68,1900,<81%,0,1,0,13-14,80.0,80.0,80.0,10.0,14.0,12.0,1,Astonish,Shadow Sneak,9.7,0,0,0,0,,,0,199,0,1
0,10/27/18 08:48:55,200,Misdreavus,80⓮⑫⑩⑮HeDp,♀,15.0,15.0,739,67,1900,<81%,1,0,0,13-14,80.0,80.0,80.0,14.0,11.5,10.5,0,Hex,Dark Pulse,10.9,0,0,0,0,,,0,199,0,1
0,10/27/18 08:48:35,198,Murkrow,58⑩⑧⑨㉒FAFP,♂,22.0,22.0,799,80,3000,?,0,0,0,?,57.8,57.8,57.8,9.5,7.8,8.8,0,Feint Attack,Foul Play,18.2,0,0,0,0,,,0,197,0,1
0,10/27/18 08:48:18,198,Murkrow,69⑨⑧⑭㉔FADP,♀,24.0,24.0,888,87,3500,?,0,0,0,?,68.9,68.9,68.9,9.0,8.2,13.8,0,Feint Attack,Drill Peck,18.7,0,0,0,0,,,0,197,0,1
0,10/27/18 08:46:45,198,Murkrow,76⓬❿⓬㉔PeDP,♂,24.0,24.0,906,86,3500,?,1,0,1,8-12,75.6,75.6,75.6,12.0,10.0,12.0,1,Peck,Drill Peck,18.1,0,0,0,0,,,0,197,0,1
0,10/27/18 08:46:27,198,Murkrow,89⓮⓯⓫㉖FADp,♀,26.0,26.0,1013,89,4000,?,0,0,0,?,88.9,88.9,88.9,14.0,15.0,11.0,1,Feint Attack,Dark Pulse,18.2,0,0,0,0,,,0,197,0,1
0,10/27/18 08:44:56,108,Lickitung,86⑬⑪⓯⑮ZHPW,♂,15.0,15.0,549,100,1900,>81%,0,0,1,15,82.2,85.6,88.9,13.0,10.5,15.0,0,Zen Headbutt,Power Whip,8.1,0,0,0,0,,,0,107,0,1
0,10/27/18 08:44:47,108,Lickitung,38⑥⑥⑤⑮LiHB,♂,15.0,15.0,497,95,1900,?,0,0,0,?,28.9,37.8,46.7,6.4,6.0,4.6,0,Lick,Hyper Beam,8.3,0,0,0,0,,,0,107,0,1
0,10/27/18 08:30:34,92,Gastly,62⑦⑥⑮⑩,♀,10.0,10.0,259,31,1000,?,0,0,0,?,60.0,62.0,66.7,7.5,5.9,14.5,0, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 08:30:16,92,Gastly,42⑦⑦⑤⑫,♂,12.0,12.0,292,30,1300,?,0,0,0,?,40.0,42.5,46.7,7.1,6.5,5.5,0, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 07:59:16,92,Gastly,36⑦⑤④④,♂,4.0,4.0,87,16,400,?,0,0,0,?,31.1,35.8,42.2,6.6,5.1,4.4,0, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 07:59:03,123,Scyther,43⑤⑧⑥⑰,♂,17.0,17.0,1092,80,2200,?,0,0,0,?,37.8,43.3,48.9,5.3,7.8,6.3,0, - ,- ,0.0,0,0,0,0,,,0,122,0,1
0,10/27/18 07:58:54,123,Scyther,50⑤⑧⑨⑳,♂,20.0,20.0,1296,89,2500,?,0,0,0,?,44.4,49.6,55.6,4.7,8.3,9.3,0, - ,- ,0.0,0,0,0,0,,,0,122,0,1
0,10/27/18 07:58:45,123,Scyther,48④⑦⑪⑬,♂,13.0,13.0,840,72,1600,?,0,0,0,?,42.2,48.1,53.3,3.7,7.4,10.6,0, - ,- ,0.0,0,0,0,0,,,0,122,0,1
0,10/27/18 07:58:27,215,Sneasel,84⓮⓮❿⑮FAFP,♀,15.0,15.0,778,62,1900,>81%,1,1,0,13-14,84.4,84.4,84.4,14.0,14.0,10.0,1,Feint Attack,Foul Play,15.7,0,0,0,0,,,0,214,0,1
0,10/27/18 07:58:12,215,Sneasel,82⓫⓭⓭⑮FAIP,♂,15.0,15.0,774,63,1900,>81%,0,1,1,13-14,82.2,82.2,82.2,11.0,13.0,13.0,1,Feint Attack,Ice Punch,14.9,0,0,0,0,,,0,214,0,1
0,10/27/18 07:11:21,387,Turtwig,41⑦⑦⑤⑯,♂,16.0,16.0,476,80,1900,?,0,0,0,?,33.3,41.1,48.9,6.7,7.2,4.6,0, - ,- ,0.0,0,0,0,0,,,0,430,0,1
0,10/27/18 07:10:59,355,Duskull,27④⑧①⑯,♀,16.0,16.0,174,21,1900,?,0,0,0,?,13.3,26.7,37.8,3.7,7.8,0.5,0, - ,- ,0.0,0,0,0,0,,,0,354,0,1
0,10/27/18 07:10:51,355,Duskull,53④⑧⑪㉑,♂,21.0,21.0,260,31,3000,?,0,0,0,?,42.2,52.5,62.2,4.4,7.8,11.5,0, - ,- ,0.0,0,0,0,0,,,0,354,0,1
0,10/27/18 07:10:21,355,Duskull,57⑦⑦⑪㉑,♀,21.0,21.0,269,31,3000,?,0,0,0,?,44.4,56.8,71.1,7.2,6.9,11.5,0, - ,- ,0.0,0,0,0,0,,,0,354,0,1
0,10/27/18 07:08:28,354,Banette,67⓯⓭❷㉘SCDG,♀,28.0,28.0,1570,91,4500,<81%,1,0,0,15,66.7,66.7,66.7,15.0,13.0,2.0,1,Shadow Claw,Dazzling Gleam,23.3,0,0,0,0,,,1,353,0,1
1,10/27/18 07:08:28,353,Shuppet,-,-,28.0,28.0,644,63,4500,<81%,1,0,0,15,66.7,66.7,66.7,15.0,13.0,2.0,1,-,-,-,0,0,0,0,,,,353,0,
0,10/27/18 07:02:49,228,Houndour,17②③❸㉖,♂,26.0,26.0,673,63,4000,?,0,0,0,?,15.6,16.7,17.8,2.0,2.5,3.0,0, - ,- ,0.0,0,0,0,0,,,0,227,0,1
0,10/27/18 07:02:33,228,Houndour,60⑦⑥⑬㉖,♂,26.0,26.0,749,70,4000,?,0,0,0,?,57.8,60.4,62.2,7.4,6.4,13.4,0, - ,- ,0.0,0,0,0,0,,,0,227,0,1
0,10/27/18 07:02:21,228,Houndour,38⑧⑥②㉙,♀,29.0,29.0,794,66,5000,?,0,0,0,?,35.6,38.1,42.2,8.4,6.4,2.4,0, - ,- ,0.0,0,0,0,0,,,0,227,0,1
0,10/27/18 06:59:59,93,Haunter,76⓬⓯❼㉚,♀,30.0,30.0,1396,70,5000,<81%,0,1,0,15,75.6,75.6,75.6,12.0,15.0,7.0,1, - ,- ,0.0,0,0,0,0,,,0,92,0,1
0,10/27/18 06:59:38,92,Gastly,58⑨⑩⑧⑭,♀,14.0,14.0,357,33,1600,?,0,0,0,?,55.6,58.4,60.0,8.8,9.9,7.5,0, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 06:59:24,92,Gastly,13❶❷❸㉒,♂,22.0,22.0,494,39,3000,?,0,0,0,?,13.3,13.3,13.3,1.0,2.0,3.0,1, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 06:59:06,92,Gastly,89⑭⑫⓯⑯,♀,16.0,16.0,445,40,1900,>81%,0,0,1,15,88.9,88.9,88.9,13.5,11.5,15.0,0, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 06:58:02,92,Gastly,80⓮❽⓮㉓,♀,23.0,23.0,623,47,3500,<81%,1,0,1,13-14,80.0,80.0,80.0,14.0,8.0,14.0,1, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 06:57:32,92,Gastly,48⑨⑦⑥㉝?,♀,?,33.0;34.0,785,49,7000,?,0,0,0,?,42.2,47.8,53.3,8.8,7.0,5.7,0, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 06:56:45,92,Gastly,84❿⓮⓮㉚,♂,30.0,30.0,827,54,5000,>81%,0,1,1,13-14,84.4,84.4,84.4,10.0,14.0,14.0,1, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/24/18 18:39:21,354,Banette,73⓮❿❾㉙SCDG,♂,29.0,29.0,1644,98,5000,?,0,0,0,?,73.3,73.3,73.3,14.0,10.0,9.0,1,Shadow Claw,Dazzling Gleam,23.9,0,0,0,0,,,1,353,0,1
0,10/24/18 18:39:01,354,Banette,70⑨⑨⑭㉚SCDG,♂,30.0,30.0,1684,103,5000,<81%,0,0,1,?,68.9,69.6,71.1,9.0,8.7,13.7,0,Shadow Claw,Dazzling Gleam,24.3,0,0,0,0,,,1,353,0,1
0,10/23/18 21:17:40,68,Machamp,80⓭❿⓭㉚CoDP,♂,30.0,30.0,2409,141,5000,<81%,1,0,1,13-14,80.0,80.0,80.0,13.0,10.0,13.0,1,Counter,Dynamic Punch,31.2,0,0,0,0,,,1,67,0,1
0,10/21/18 17:03:00,376,Metagross,71⓯❹⓭㉜BPMM✝,,32.0,32.0,3135,128,6000,<81%,1,0,0,15,71.1,71.1,71.1,15.0,4.0,13.0,1,Bullet Punch,Meteor Mash,35.3,0,0,0,0,,,1,375,0,1
1,10/21/18 17:03:00,375,Metang,-,-,32.0,32.0,1341,98,6000,<81%,1,0,0,15,71.1,71.1,71.1,15.0,4.0,13.0,1,-,-,-,0,0,0,0,,,,375,0,
0,10/21/18 16:15:49,376,Metagross,84⓯❿⓭㉜BPMM✝,,32.0,32.0,3172,128,6000,>81%,1,0,0,15,84.4,84.4,84.4,15.0,10.0,13.0,1,Bullet Punch,Meteor Mash,35.3,0,0,0,0,,,1,375,0,1
1,10/21/18 16:15:49,374,Beldum,-,-,32.0,32.0,727,69,6000,>81%,1,0,0,15,84.4,84.4,84.4,15.0,10.0,13.0,1,-,-,-,0,0,0,0,,,,375,0,
0,10/21/18 07:54:00,297,Hariyama,76⓭⓯❻㉙CoHS,♂,29.0,29.0,2237,211,5000,?,0,0,0,?,75.6,75.6,75.6,13.0,15.0,6.0,1,Counter,Heavy Slam,24.4,0,0,0,0,,,1,296,0,1
0,10/21/18 07:42:56,150,Mewtwo,89⓭⓮⓭⑳PCTb,,20.0,20.0,2244,123,2500,>81%,0,1,0,13-14,88.9,88.9,88.9,13.0,14.0,13.0,1,Psycho Cut,Thunderbolt,25.8,0,0,0,0,,,1,149,0,1
0,10/21/18 07:40:22,123,Scyther,71⑩⑨⑬⑲,♂,19.0,19.0,1279,89,2500,<81%,0,0,1,13-14,68.9,71.1,73.3,10.0,8.5,13.5,0, - ,- ,0.0,0,0,0,0,,,1,122,0,1
0,10/21/18 07:39:43,103,Exeggutor Normal,73❾⓭⓫㉘ExPy,♀,28.0,28.0,2241,142,4500,<81%,0,1,0,13-14,73.3,73.3,73.3,9.0,13.0,11.0,1,Extrasensory,Psychic,23.6,0,0,0,0,,,1,394,0,1
0,10/21/18 07:38:18,71,Victreebel,82⓭⓭⓫⑭RLSB,♀,14.0,14.0,883,85,1600,>81%,1,1,0,13-14,82.2,82.2,82.2,13.0,13.0,11.0,1,Razor Leaf,Solar Beam,16.3,0,0,0,0,,,1,70,0,1
0,10/20/18 21:49:47,248,Tyranitar,89⓬⓮⓮㉒BiCr,♂,22.0,22.0,2270,134,1500,?,0,0,0,?,88.9,88.9,88.9,12.0,14.0,14.0,1,Bite,Crunch,23.7,0,0,0,0,,,1,247,1,0
1,10/20/18 21:49:47,248,Tyranitar,-,-,21.5,21.5,2219,132,3000,?,0,0,0,?,88.9,88.9,88.9,12.0,14.0,14.0,1,-,-,-,0,0,0,0,,,,247,1,
1,10/20/18 21:49:47,248,Tyranitar,-,-,20.0,20.0,2064,127,2500,?,0,0,0,?,88.9,88.9,88.9,12.0,14.0,14.0,1,-,-,-,0,0,0,0,,,,247,1,
0,10/20/18 21:41:09,150,Mewtwo,87⓭⓭⓭⑳PCFB,,20.0,20.0,2238,123,2500,>81%,1,1,1,13-14,86.7,86.7,86.7,13.0,13.0,13.0,1,Psycho Cut,Focus Blast,24.8,0,0,0,0,,,1,149,0,1
0,10/20/18 21:40:45,150,Mewtwo,93⓭⓯⓮⑳CoIB,,20.0,20.0,2255,123,2500,?,0,0,0,?,93.3,93.3,93.3,13.0,15.0,14.0,1,Confusion,Ice Beam,26.3,0,0,0,0,,,1,149,0,1
0,10/20/18 21:38:21,150,Mewtwo,93⓮⓭⓯⑳PCFB,,20.0,20.0,2256,124,2500,?,0,0,0,?,93.3,93.3,93.3,14.0,13.0,15.0,1,Psycho Cut,Focus Blast,24.8,0,0,0,0,,,1,149,0,1
0,10/20/18 21:36:40,150,Mewtwo,89⓮⓬⓮⑳PCIB,,20.0,20.0,2245,123,2500,?,0,0,0,?,88.9,88.9,88.9,14.0,12.0,14.0,1,Psycho Cut,Ice Beam,24.6,0,0,0,0,,,1,149,0,1
0,10/20/18 21:36:12,150,Mewtwo,87⓫⓭⓯⑳PCIB,,20.0,20.0,2235,124,2500,?,0,0,0,?,86.7,86.7,86.7,11.0,13.0,15.0,1,Psycho Cut,Ice Beam,24.6,0,0,0,0,,,1,149,0,1
0,10/20/18 21:35:22,150,Mewtwo,82⓯❿⓬⑳CoPy,,20.0,20.0,2230,122,2500,>81%,1,0,0,15,82.2,82.2,82.2,15.0,10.0,12.0,1,Confusion,Psychic,26.6,0,0,0,0,,,1,149,1,1
0,10/20/18 21:32:35,80,Slowbro,54⑩④⓫㉗CoIB,♀,27.0,27.0,1792,139,4500,<65%,0,0,1,8-12,53.3,54.4,55.6,9.5,4.0,11.0,0,Confusion,Ice Beam,18.0,0,0,0,0,,,1,79,0,1
0,10/20/18 21:31:54,76,Golem Normal,98⓯⓮⓯㉕RTRB,♀,25.0,25.0,2079,116,2000,?,0,0,0,?,97.8,97.8,97.8,15.0,14.0,15.0,1,Rock Throw,Rock Blast,21.5,0,0,0,0,,,1,422,1,0
0,10/20/18 18:06:46,297,Hariyama,44❷⓯❸㉕CoDP,♀,25.0,25.0,1823,194,4000,<50%,0,1,0,15,44.4,44.4,44.4,2.0,15.0,3.0,1,Counter,Dynamic Punch,26.5,0,0,0,0,,,1,296,0,1
0,10/20/18 18:04:34,297,Hariyama,58❹⓭❾㉔CoDP,♂,24.0,24.0,1771,194,3500,<65%,0,1,0,13-14,57.8,57.8,57.8,4.0,13.0,9.0,1,Counter,Dynamic Punch,26.0,0,0,0,0,,,1,296,0,1
0,10/20/18 17:33:58,68,Machamp,78⓯❺⓯㉕CoDP,♂,25.0,25.0,2004,130,4000,<81%,1,0,1,15,77.8,77.8,77.8,15.0,5.0,15.0,1,Counter,Dynamic Punch,28.6,0,0,0,0,,,1,67,0,1
0,10/20/18 15:25:33,244,Entei,82⓫⓬⓮⑮FFFb,,15.0,15.0,1410,126,1900,>81%,0,0,1,13-14,82.2,82.2,82.2,11.0,12.0,14.0,1,Fire Fang,Fire Blast,18.9,0,0,0,0,,,1,243,0,1
0,10/20/18 15:25:08,143,Snorlax,71⓬❿❿⑮½ZHHS,♂,15.5,15.5,1435,173,1900,<81%,1,0,0,8-12,71.1,71.1,71.1,12.0,10.0,10.0,1,Zen Headbutt,Heavy Slam,13.4,0,1,0,0,,,1,142,0,1
0,10/20/18 15:24:57,221,Piloswine,87⓭⓫⓯㉕ISSE,♀,25.0,25.0,1595,143,4000,?,0,0,0,?,86.7,86.7,86.7,13.0,11.0,15.0,1,Ice Shard,Stone Edge,15.7,0,0,0,0,,,1,220,0,1
0,10/20/18 15:24:36,199,Slowking,62❿⓭❺㉚WGBl,♂,30.0,30.0,2011,142,5000,?,0,0,0,?,62.2,62.2,62.2,10.0,13.0,5.0,1,Water Gun,Blizzard,18.2,0,0,0,0,,,1,198,0,1
0,10/20/18 14:46:41,124,Jynx,82⓭⓭⓫⑮CoPs,♀,15.0,15.0,1047,72,1900,>81%,1,1,0,13-14,82.2,82.2,82.2,13.0,13.0,11.0,1,Confusion,Psyshock,18.2,0,0,0,0,,,1,123,0,1
0,10/20/18 14:45:34,124,Jynx,84⓬⓫⓯⑮FBPs,♀,15.0,15.0,1052,75,1900,?,0,0,0,?,84.4,84.4,84.4,12.0,11.0,15.0,1,Frost Breath,Psyshock,17.5,0,0,0,0,,,1,123,0,1
0,10/20/18 14:39:42,124,Jynx,87⓮⓮⓫⑮CoAv,♀,15.0,15.0,1054,72,1900,>81%,1,1,0,13-14,86.7,86.7,86.7,14.0,14.0,11.0,1,Confusion,Avalanche,20.1,0,0,0,0,,,1,123,0,1
0,10/20/18 14:38:57,124,Jynx,93⓮⓯⓭⑮FBDK,♀,15.0,15.0,1064,73,1900,?,0,0,0,?,93.3,93.3,93.3,14.0,15.0,13.0,1,Frost Breath,Draining Kiss,14.1,0,0,0,0,,,1,123,0,1
0,10/20/18 14:22:50,103,Exeggutor Normal,89⓮⓫⓯㉘ExSe,♂,28.0,28.0,2297,144,4500,?,0,0,0,?,88.9,88.9,88.9,14.0,11.0,15.0,1,Extrasensory,Seed Bomb,26.3,0,0,0,0,,,1,394,0,1
0,10/20/18 14:20:54,103,Exeggutor Normal,62❾⓯❹㉚BSSe,♀,30.0,30.0,2373,141,5000,<65%,0,1,0,15,62.2,62.2,62.2,9.0,15.0,4.0,1,Bullet Seed,Seed Bomb,25.2,0,0,0,0,,,1,394,0,1
0,10/20/18 14:19:18,94,Gengar,60⓭❾❺㉒SPSb,♀,22.0,22.0,1544,78,3000,<65%,1,0,0,13-14,60.0,60.0,60.0,13.0,9.0,5.0,1,Sucker Punch,Sludge Bomb,25.7,0,0,0,0,,,1,93,0,1
0,10/20/18 11:45:03,130,Gyarados,89⓯⑬⑫④WaHP,♂,4.0,4.0,339,51,200,>81%,1,0,0,15,88.9,88.9,88.9,15.0,13.0,12.0,0,Waterfall,Hydro Pump,9.5,0,0,0,0,,,1,129,1,0
0,10/20/18 11:37:03,65,Alakazam,53②⑧⓮㉕PCFB,♀,25.0,25.0,1927,82,4000,<65%,0,0,1,13-14,51.1,53.3,55.6,2.0,8.0,14.0,0,Psycho Cut,Focus Blast,23.5,0,0,0,0,,,1,64,0,1
0,10/20/18 11:36:54,65,Alakazam,51⓮❼❷㉗CoFS,♀,27.0,27.0,2060,77,4500,?,0,0,0,?,51.1,51.1,51.1,14.0,7.0,2.0,1,Confusion,Future Sight,28.3,0,0,0,0,,,1,64,0,1
0,10/19/18 23:20:42,68,Machamp,80⓭⓫⓬㉙CoDP,♂,29.0,29.0,2329,138,5000,?,1,0,0,?,80.0,80.0,80.0,13.0,11.0,12.0,1,Counter,Dynamic Punch,30.7,0,0,0,0,,,1,67,0,1
0,10/19/18 23:19:32,68,Machamp,69⓫❿❿⑳BPHS,♂,20.0,20.0,1580,113,2500,?,1,0,0,?,68.9,68.9,68.9,11.0,10.0,10.0,1,Bullet Punch,Heavy Slam,18.8,0,0,0,0,,,1,67,0,1
0,10/19/18 23:10:19,150,Mewtwo,98⓯⓯⓮⑳PCIB,,20.0,20.0,2270,123,2500,?,0,0,0,?,97.8,97.8,97.8,15.0,15.0,14.0,1,Psycho Cut,Ice Beam,24.6,0,0,0,0,,,1,149,0,1
